Idx,Subcommunity species,Fitness,Shannon diversity sim,End abundance
23,"1319,1321,1336",1051792456.4918208,0.7953599288613983,"677524962.265643,321711785.1288051,52555709.09737278"
24,"1319,1321,1538",870216692.1832563,0.9634054907821337,"172660792.92162582,186324903.89347714,511230995.36815333"
25,"1319,1323,1324",1175670288.6342552,1.0835501245630623,"343575782.34266174,489790060.16845506,342304446.1231384"
26,"1319,1323,1325",1324967412.1183915,1.0613835993979581,"312358434.0324005,408043641.81311786,604565336.2728733"
27,"1319,1323,1327",1521115180.005556,1.0593138202251065,"356052913.5699656,464847616.1113234,700214650.3242671"
28,"1319,1323,1329",1434649568.3668454,0.8704901538249202,"426240345.5911597,884361906.070894,124047316.70479184"
29,"1319,1323,1330",1367740603.1927423,0.6940466000006046,"435628175.395834,912941789.0714581,19170638.725450296"
30,"1319,1323,1331",1216589147.4309647,0.9071937037198272,"183585642.01432276,264368793.67599383,768634711.7406482"
31,"1319,1323,1334",1618762941.659179,1.0614400640345867,"391966771.9631565,744344749.9221569,482451419.77386546"
32,"1319,1323,1337",1432074372.8095825,0.9063031855298979,"393255692.91556424,872967502.741227,165851177.15279126"
33,"1319,1323,1338",1433369907.3585687,0.9073092372059761,"446980021.29994696,841831322.8473299,144558563.2112918"
34,"1319,1323,1336",1377449335.0942335,0.7602090620666644,"429504662.29836243,899112595.1844912,48832077.611379944"
35,"1319,1323,1538",888393721.1153994,1.0124196226775752,"156768697.19826448,277205880.8511485,454419143.0659864"
36,"1319,1324,1325",1097446152.9443996,1.045235620202313,"311345791.9571746,251253961.03147405,534846399.9557509"
37,"1319,1324,1327",1282265602.8868258,1.0394740887000302,"328402252.2377406,312556869.92259145,641306480.7264938"
38,"1319,1324,1329",1021511954.8929605,0.9765928220968974,"405127559.4879205,490848351.42625695,125536043.9787831"
39,"1319,1324,1330",931607282.6332809,0.7753906734720755,"412112784.0032066,500091787.51060414,19402711.11947015"
40,"1319,1324,1331",1101147446.178697,0.8128863412133498,"185837014.7864721,142173760.49044043,773136670.9017847"
41,"1319,1324,1334",1317820812.98575,1.0895267584693777,"390576420.41493994,403407202.7917859,523837189.7790241"
42,"1319,1324,1337",1020184164.6735582,1.0196186295282808,"376644114.4222464,476603838.79020363,166936211.46110824"
43,"1319,1324,1338",1066766704.9436072,1.0410652272241931,"418469656.0020466,453715390.13296705,194581658.8085936"
44,"1319,1324,1336",944389454.1584293,0.8556814847906764,"406686739.253714,489336423.33673245,48366291.56798274"
45,"1319,1324,1538",823422151.0332146,1.0054516826929727,"136471444.15551314,265161061.99109408,421789644.8866073"
46,"1319,1325,1327",1444397380.681123,1.059556353980218,"299043670.07437664,564142096.3545055,581211614.2522409"
47,"1319,1325,1329",1289383740.0891478,0.8639542720693026,"336322143.3812243,826143939.6304407,126917657.07748304"
48,"1319,1325,1330",1191478956.1364365,0.6740757697524971,"337799114.4799336,834240878.7313827,19438962.92512009"
