,1319,1320,1321,1323,1324,1325,1327,1329,1330,1331,1334,1337,1338,1336,1538
sucrose,-3.969665912535188,-4.957980438639911,-4.088788112905317,-2.8161955671412713,-1.4581840798531436,-1.6972442002814203,-3.245349878711565,-3.885846249369546,-3.8943156084013095,-1.6121996529565896,-5.150262881928895,-5.089526557272869,-2.2113387804496503,-3.182918828004466,-4.2203512279363125
trehalose,-3.93463991724259,-4.284583971498567,-3.2041856989793964,-1.987172869341824,-2.9268286041447844,4.740900136507836,-3.034556103538364,-3.887456944433987,3.5985652126976033,3.4045577777031584,-2.9474662948706323,-3.556100958434933,-1.5045454137258143,4.1927013465127505,-2.1645083544986843
myo-inositol,-3.9281257228966426,-3.7797066379329696,-5.2392750263683325,-3.182047979428574,-2.3453172725584728,-2.4067364862445766,-2.695802762885644,-3.6909485995781273,-2.674598691962011,-2.9087537887911825,-3.0720506802055647,-3.3249397950618804,-3.681561212339375,-4.5425507629770685,-3.6613988858093913
xylose,-2.7250061386530704,-3.6509574546700962,-2.8267130214407308,-1.2296709367314926,-1.2942674419700126,-1.3508955356471422,-2.6388719747389504,-4.117005996288881,-2.805636448556655,-2.3189256040579966,-2.9981619082435462,4.430790538923526,-1.5424153749078169,-2.857575768357004,-2.4597059075983814
mannitol,-4.107713840488207,3.886677591717362,-2.120808890481016,-3.783278267090055,-4.078846171713909,-4.739309730133277,-2.234902347454244,-4.271893102024265,-3.61877476049527,-1.8797926674983598,-2.7343515226697606,-3.653865017450312,-1.4940406293265012,-2.967170365183959,-2.373450008291093
N-acetyl-glucosamine,-2.1033869487572567,-2.265625330057601,-3.78681627225916,-1.9318977630731617,-1.9196534613060747,-1.666335052663147,-2.2639335941779004,-3.6054633392798037,-3.757379502770573,-2.1513464482153624,-1.6887874713154027,-2.3176410333839175,-1.5124025806593948,-3.2690358933434656,-1.8776513235300913
Glucose,-2.1310090974342364,-2.359028664402735,-2.937314218904328,-1.424844614352287,-1.5251639088098456,-1.7283384998895888,-1.8813396414937087,2.1985458456117764,-2.347501671760864,-2.2059369151527473,-2.958151290432391,-2.591776847245938,-1.4954296466673207,-0.8910263014718096,-1.6557498977956997
lactic acid,-4.258516030256667,-2.3084890385565386,-1.7955457692141703,-3.053765986368962,-2.8579375485170018,-2.7354078469901375,-3.2965529512430187,-1.4094759945986415,-3.0147370276099372,-3.6755510784786023,-3.124597773189037,4.326147755429939,-3.4936037265902318,-3.416822000837517,-3.752348604679177
malic acid,-3.4392460658063038,-2.1528983524742866,-1.8884748358966623,-3.054548615219651,-4.147130010196452,-4.048583622275519,-1.8024224141342866,-4.16442712866554,-0.8999585591205581,-3.508477590348681,-2.874063374468416,-3.6182057287021614,-3.4712687130172006,-3.18564795000503,-4.168773072658268
