sucrose,trehalose,myo-inositol,xylose,mannitol,N-acetyl-glucosamine,Glucose,lactic acid,malic acid,citric acid,pyruvic acid,alpha-ketoglutaric acid,citrulline,succinic acid,alanine,arginine,asparagine,aspartic acid,glutamic acid,glutamine,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,cysteine,cystine,adenine,adenosine,cytidine,cytosine,guanine,guanosine,hypoxanthine,inosine,thymine,uracil,uridine,xanthine,xanthosine,5-methyluridine,gamma-Aminobutyric acid,ectoine,N-acetyl-glutamic acid,ornithine,shikimic acid,taurine,N-acetylglutamine,n-acetyllysine,n-acetylmuramic acid,betaine,nicotinamide,trigonelline,carnitine,choline,sn-glycero-3-phosphocholine,species
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319
0.3293647246735103,0.0,0.8398721510519768,0.637155869985727,0.0,0.5351579674143707,0.9425940672939943,0.0,0.5612437776866633,0.8573236476385132,0.4645443031038923,0.4874635894440542,0.9193564755742927,0.9426419758877842,0.9043979939676605,0.5553965803417931,0.44224469519315734,0.20662018890897776,0.16073297289135172,0.5049689563094915,0.8107303526335272,0.48421691332478783,0.8835147738000095,0.05672874879542219,0.19476588399974598,0.7999763411953952,0.5037688668325152,0.8016193642776658,0.21564116246229598,0.564076114495482,0.1671131362838625,0.725429299466181,0.46755448830741614,0.9603148447051177,0.8907299756419751,0.8401522762758057,0.8044426432438445,0.1673340624336781,0.7704090072590097,0.3393506143855288,0.19230141140512147,0.3943234191747555,0.43160137349060296,0.0,0.9564499568993673,0.09014030477265826,0.16367346302378186,0.06641474925200054,0.8027559064562363,0.0,0.2151249932827482,0.6422317917210807,0.6921689666399142,0.9513287263808026,0.40461491710259917,0.49406320174321555,0.7126533323912438,0.43887027531397066,0.8148935394390376,0.0,0.8570798985896061,0.8131505133645219,0.0,0.9118752538001909,1319
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319
0.5455072058738174,0.0,0.04006917656437643,0.33852517164275325,0.0,0.024250471650278157,0.007606529593462134,0.0,0.1281421091174719,0.07119575296558439,0.4923842428934052,0.46229774278850067,0.019148792905572393,0.04006045669922061,0.016776398973706308,0.043969568281019604,0.25199238902200893,0.08049639216641384,0.3014389984367052,0.06687736816374691,0.08104356414987102,0.026328265000371116,0.10309924048944798,0.026732505766778,0.1769278218425816,0.1556858229742867,0.2179857809353309,0.08514060926843481,0.6186279549606717,0.2456113779950665,0.3446988062628453,0.02686878153087628,0.5113399337747905,0.009501143178081201,0.07806410337726759,0.07204755925017561,0.11024197691723997,0.6517192530622791,0.18143003277934935,0.2943043746657227,0.4145003188330786,0.2525533945042067,0.17370570699821922,0.0,0.028514136910206222,0.4772391022628027,0.6843332269374479,0.9032941605026974,0.06652370566182247,0.0,0.32775132846216287,0.3312907225260026,0.18325707612717268,0.020935760868067567,0.05846780629506089,0.43326071388639886,0.15053024497643921,0.28516075620652975,0.07226329368021671,0.0,0.08289851280751731,0.120391410970272,0.0,0.044787549139296105,1319
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319
0.05760069548301417,0.0,0.007609290386073936,0.008653648307862409,0.0,0.3184422379197571,0.04685439588110638,0.0,0.08545833704809236,0.0,0.019852466783065487,0.022264176893874228,0.027013874352107177,0.013911962934194553,0.020562908649591927,0.28083765014683876,0.25238536290145447,0.3027684721508205,0.3160896430310456,0.2575937718691694,0.06504706590808598,0.46577526639206124,0.0060711994599141695,0.7160011238407604,0.35910640961984425,0.009850765149821151,0.09321061254777722,0.07557566919028338,0.08908154814887818,0.07619963857307904,0.46970927458722483,0.21865058226249415,0.01152906116980807,0.007520364332642843,0.012410321904132998,0.005206987484977078,0.05818461633665517,0.08585905780990859,0.01279944458382954,0.2946764483052768,0.3509091161489386,0.34371564520467146,0.29890162496644923,0.0,0.013699489345532377,0.07903183007255993,0.05581190332394974,0.0009439798957566431,0.08618565636319638,0.0,0.38561520644620184,0.0014390876819215148,0.04831976208507733,0.003066807554637699,0.4171144464048322,0.04317639660833935,0.10611400966381956,0.08864906667438129,0.07086661913584212,0.0,0.04966364479831005,0.04689713263580791,0.0,0.034964746374852994,1319
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319
0.012353079206452356,0.0,0.08436929993961066,0.0005905888468764697,0.0,0.09004237289138604,0.0009071822947988505,0.0,0.16060241237866266,0.0,0.006867694670582793,0.001747607413661028,0.02958968205607907,0.0011502624771447523,0.03503633986598739,0.08153307564544798,0.01992719385603952,0.40583334552114064,0.09438805627347908,0.12200976499045933,0.0044482610372101545,0.015378254329329363,0.004402446037601894,0.1968674460775496,0.157678241445483,0.025887456277815593,0.006292834630165631,0.021418794715347696,0.054091945032508255,0.04313783354144065,0.00522557673438702,0.018700555102746628,0.006372661441397658,0.0011228865208804879,0.012646141529805817,0.007746720776761356,0.011813551394244094,0.03889105306084797,0.018974296068705796,0.02594493590152227,0.014859224083982422,0.004675091816511442,0.01101530525919257,0.0,0.0004177119247394172,0.1692618061163589,0.08873071727182207,0.0231944378048688,0.013183854461226881,0.0,0.003417006003444007,0.008344504320704793,0.02596273598806302,0.0075001645659368635,0.0,0.003908300877972317,0.005849142009535915,0.0,0.017052473908792148,0.0,0.0007469161116910425,0.001867108976522412,0.0,0.0028542425028257575,1319
