Passage,species,value,replicate
1,1319,0.019673348181143288,r1
2,1319,0.011421628189550425,r1
3,1319,0.0063970081684873534,r1
4,1319,0.006549232158988256,r1
5,1319,0.010585511081706913,r1
1,1320,0.10634743875278399,r1
2,1320,0.15884973673552044,r1
3,1320,0.16228717645900992,r1
4,1320,0.06707317073170732,r1
5,1320,0.04157018414378652,r1
1,1321,0.021900519673348186,r1
2,1321,0.020008100445524507,r1
3,1321,0.016435390217498277,r1
4,1321,0.0251806684733514,r1
5,1321,0.03848274341162201,r1
1,1323,0.2862843355605049,r1
2,1323,0.23240178209801537,r1
3,1323,0.08414526129317981,r1
4,1323,0.04065040650406505,r1
5,1323,0.01885544161429044,r1
1,1324,0.016518188567186346,r1
2,1324,0.005994329688132848,r1
3,1324,0.00954630449758882,r1
4,1324,0.022018970189701895,r1
5,1324,0.020509427720807147,r1
1,1325,0.3079064587973275,r1
2,1325,0.32369380315917373,r1
3,1325,0.25686448184233834,r1
4,1325,0.3430442637759711,r1
5,1325,0.27290770757525634,r1
1,1327,0.05614328136599853,r1
2,1327,0.07047387606318348,r1
3,1327,0.114358822950497,r1
4,1327,0.06413730803974707,r1
5,1327,0.1346344690704598,r1
1,1329,0.0007423904974016334,r1
2,1329,0.0004860267314702309,r1
3,1329,0.0,r1
4,1329,0.0,r1
5,1329,0.0,r1
1,1330,0.0,r1
2,1330,0.0,r1
3,1330,0.0,r1
4,1330,0.0,r1
5,1330,0.0,r1
1,1331,0.0823125463994061,r1
2,1331,0.17545565006075337,r1
3,1331,0.34967030804054716,r1
4,1331,0.43010388437217706,r1
5,1331,0.4527511302238395,r1
1,1334,0.007423904974016334,r1
2,1334,0.0,r1
3,1334,0.0,r1
4,1334,0.0,r1
5,1334,0.0,r1
1,1337,0.0,r1
2,1337,0.0,r1
3,1337,0.0,r1
4,1337,0.0,r1
5,1337,0.0,r1
1,1338,0.0,r1
2,1338,0.0,r1
3,1338,0.0,r1
4,1338,0.0,r1
5,1338,0.0,r1
1,1336,0.0,r1
2,1336,0.0,r1
3,1336,0.0,r1
4,1336,0.0,r1
5,1336,0.0,r1
1,1538,0.09474758723088347,r1
2,1538,0.001215066828675577,r1
3,1538,0.0002952465308532625,r1
4,1538,0.0012420957542908762,r1
5,1538,0.009703385158231338,r1
1,1319,0.024909498362351318,r2
2,1319,0.01703830760434534,r2
3,1319,0.00970769064825801,r2
4,1319,0.010222834826556398,r2
5,1319,0.017470509183216364,r2
1,1320,0.11299775900706775,r2
2,1320,0.1428244711263579,r2
3,1320,0.13968288210549026,r2
