species,metabolite,metabolite_class,time,median_val,median_usage
Lysobacter,sucrose,Sugar,6.0,0.9700631472919116,-0.029936852708088435
Lysobacter,sucrose,Sugar,8.5,0.9635935045547416,-0.036406495445258424
Lysobacter,sucrose,Sugar,12.5,0.9530955383622717,-0.04690446163772832
Lysobacter,sucrose,Sugar,33.0,0.9099206847629611,-0.09007931523703894
Lysobacter,trehalose,Sugar,6.0,1.0559562679819998,0.05595626798199982
Lysobacter,trehalose,Sugar,8.5,1.2245890871830107,0.22458908718301074
Lysobacter,trehalose,Sugar,12.5,1.3351048323255088,0.3351048323255088
Lysobacter,trehalose,Sugar,33.0,1.1356606873468593,0.13566068734685932
Lysobacter,myo-inositol,Sugar,6.0,0.8909948091477018,-0.1090051908522982
Lysobacter,myo-inositol,Sugar,8.5,0.7887398716432611,-0.2112601283567389
Lysobacter,myo-inositol,Sugar,12.5,0.7967680414132228,-0.20323195858677723
Lysobacter,myo-inositol,Sugar,33.0,0.757087766679158,-0.242912233320842
Lysobacter,xylose,Sugar,6.0,0.7306337857524132,-0.2693662142475868
Lysobacter,xylose,Sugar,8.5,0.9059981647818333,-0.09400183521816674
Lysobacter,xylose,Sugar,12.5,0.5011754324255318,-0.49882456757446825
Lysobacter,xylose,Sugar,33.0,0.007610879725618554,-0.9923891202743814
Lysobacter,mannitol,Sugar,6.0,1.0270725652505768,0.027072565250576774
Lysobacter,mannitol,Sugar,8.5,1.191107845427458,0.19110784542745796
Lysobacter,mannitol,Sugar,12.5,1.127796464598001,0.12779646459800098
Lysobacter,mannitol,Sugar,33.0,1.1173694109030983,0.11736941090309827
Lysobacter,N-acetyl-glucosamine,Sugar,6.0,0.7776282188175856,-0.2223717811824144
Lysobacter,N-acetyl-glucosamine,Sugar,8.5,0.4520989075734194,-0.5479010924265806
Lysobacter,N-acetyl-glucosamine,Sugar,12.5,0.0176978003590989,-0.9823021996409012
Lysobacter,N-acetyl-glucosamine,Sugar,33.0,0.005673796206150286,-0.9943262037938497
Lysobacter,Glucose,Sugar,6.0,0.7293851877508267,-0.2706148122491733
Lysobacter,Glucose,Sugar,8.5,0.6193185715395312,-0.3806814284604688
Lysobacter,Glucose,Sugar,12.5,0.07086755286767726,-0.9291324471323228
Lysobacter,Glucose,Sugar,33.0,0.03514488766726094,-0.964855112332739
Lysobacter,lactic acid,Organic_Acid,6.0,0.9744889763290017,-0.025511023670998334
Lysobacter,lactic acid,Organic_Acid,8.5,1.3334504623239178,0.33345046232391784
Lysobacter,lactic acid,Organic_Acid,12.5,1.2187853732754363,0.21878537327543635
Lysobacter,lactic acid,Organic_Acid,33.0,1.2509713654192693,0.25097136541926934
Lysobacter,malic acid,Organic_Acid,6.0,0.9236883054230628,-0.0763116945769372
Lysobacter,malic acid,Organic_Acid,8.5,0.9596142074824705,-0.040385792517529495
Lysobacter,malic acid,Organic_Acid,12.5,0.914942526253104,-0.08505747374689598
Lysobacter,malic acid,Organic_Acid,33.0,0.6253304822800738,-0.3746695177199262
Lysobacter,citric acid,Organic_Acid,6.0,0.9477339390495092,-0.0522660609504908
Lysobacter,citric acid,Organic_Acid,8.5,0.6992255900879486,-0.3007744099120514
Lysobacter,citric acid,Organic_Acid,12.5,1.0695607051319904,0.06956070513199042
Lysobacter,citric acid,Organic_Acid,33.0,1.22280039281484,0.2228003928148401
Lysobacter,pyruvic acid,Organic_Acid,6.0,0.7226712176612384,-0.27732878233876157
Lysobacter,pyruvic acid,Organic_Acid,8.5,0.20980126335905203,-0.790198736640948
Lysobacter,pyruvic acid,Organic_Acid,12.5,0.007329283947463569,-0.9926707160525364
Lysobacter,pyruvic acid,Organic_Acid,33.0,0.008004289886911091,-0.991995710113089
Lysobacter,alpha-ketoglutaric acid,Organic_Acid,6.0,0.8504333927516372,-0.1495666072483628
Lysobacter,alpha-ketoglutaric acid,Organic_Acid,8.5,1.0358341751571054,0.03583417515710541
Lysobacter,alpha-ketoglutaric acid,Organic_Acid,12.5,0.7317788935203056,-0.26822110647969444
Lysobacter,alpha-ketoglutaric acid,Organic_Acid,33.0,0.015585858946609552,-0.9844141410533904
Lysobacter,citrulline,Organic_Acid,6.0,0.945111925868666,-0.05488807413133401
Lysobacter,citrulline,Organic_Acid,8.5,1.0158311978670715,0.015831197867071545
Lysobacter,citrulline,Organic_Acid,12.5,0.9526427362836073,-0.047357263716392706
Lysobacter,citrulline,Organic_Acid,33.0,0.6136485983846329,-0.3863514016153671
Lysobacter,succinic acid,Organic_Acid,6.0,0.9385802277297575,-0.061419772270242534
Lysobacter,succinic acid,Organic_Acid,8.5,1.053502531671898,0.053502531671898
Lysobacter,succinic acid,Organic_Acid,12.5,0.9204163053276635,-0.0795836946723365
Lysobacter,succinic acid,Organic_Acid,33.0,0.9057101704270907,-0.09428982957290932
Lysobacter,alanine,Amino_Acid,6.0,0.610675490939332,-0.38932450906066796
Lysobacter,alanine,Amino_Acid,8.5,0.23195252368063596,-0.7680474763193641
Lysobacter,alanine,Amino_Acid,12.5,0.009831397818311865,-0.9901686021816881
Lysobacter,alanine,Amino_Acid,33.0,9.8909654961113e-05,-0.9999010903450389
Lysobacter,arginine,Amino_Acid,6.0,0.7338049083843003,-0.26619509161569965
Lysobacter,arginine,Amino_Acid,8.5,0.35462636663646974,-0.6453736333635303
Lysobacter,arginine,Amino_Acid,12.5,6.847432692830813e-06,-0.9999931525673071
Lysobacter,arginine,Amino_Acid,33.0,5.876299946075987e-06,-0.9999941237000539
Lysobacter,asparagine,Amino_Acid,6.0,0.8992293631798398,-0.10077063682016019
Lysobacter,asparagine,Amino_Acid,8.5,0.7399148823865485,-0.26008511761345154
Lysobacter,asparagine,Amino_Acid,12.5,0.01780469633007041,-0.9821953036699296
Lysobacter,asparagine,Amino_Acid,33.0,9.30466841034602e-06,-0.9999906953315897
