1319,1320,1321,1323,1324,1325,1327,1329,1330,1331,1334,1337,1338,1336,1538
0.124,0.304,0.204,0.083,0.241,0.215,0.318,0.064,,0.1845,0.3345,0.1125,,,0.11175
0.252,0.435,0.31725,0.176,0.388,0.4,0.462,0.08625,,0.4635,0.60225,0.4405,,,0.289
0.359,0.628,0.4255,0.526,0.447,0.544,0.616,0.1005,,0.78425,0.71625,0.51675,,,0.42925
0.7,1.35,0.61,1.36,0.69,1.29,1.3,0.251,0.2,0.907,1.6,0.766,0.2685,0.19875,0.38
