sucrose,trehalose,myo-inositol,xylose,mannitol,N-acetyl-glucosamine,Glucose,lactic acid,malic acid,citric acid,pyruvic acid,alpha-ketoglutaric acid,citrulline,succinic acid,alanine,arginine,asparagine,aspartic acid,glutamic acid,glutamine,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,cysteine,cystine,adenine,adenosine,cytidine,cytosine,guanine,guanosine,hypoxanthine,inosine,thymine,uracil,uridine,xanthine,xanthosine,5-methyluridine,gamma-Aminobutyric acid,ectoine,N-acetyl-glutamic acid,ornithine,shikimic acid,taurine,N-acetylglutamine,n-acetyllysine,n-acetylmuramic acid,betaine,nicotinamide,trigonelline,carnitine,choline,sn-glycero-3-phosphocholine,species
0.0,0.019627023742498848,0.0,0.0,0.01962702374249884,0.0,0.0,0.015832603248865863,0.0,0.00663018268095202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019627023742498848,0.0,0.0,0.009202420567913837,0.0,0.0,0.01962702374249884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015832603248865863,0.0,0.0,0.01583260324886586,0.0,1319
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319
0.0,0.038870841226404336,0.0,0.0,0.03887084122640434,0.0,0.0,0.029915798482732375,0.0,0.01479569318333696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038870841226404336,0.0,0.0,0.02375073592700892,0.0,0.0,0.0385464291103459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02991579848273238,0.0,0.0,0.029915798482732375,0.0,1319
0.0,0.07983396592798792,0.0,0.0,0.07983396592798793,0.0,0.0,0.041346973055233785,0.0,0.030925715713899456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07983396592798792,0.0,0.0,0.010421257341334332,0.0,0.0,0.05932950755542283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04134697305523379,0.0,0.0,0.041346973055233785,0.0,1319
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319
0.0,0.16386377462946358,0.0,0.0,0.1638637746294635,0.0,0.0,0.1638637746294636,0.0,0.07436373544752523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1638637746294636,0.0,0.0,0.05949164101816384,0.0,0.0,0.13385537646568912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1638637746294636,0.0,0.0,0.16386377462946358,0.0,1319
0.0,0.11772960542070475,0.0,0.0,0.11772960542070476,0.0,0.0,0.10941151004649743,0.0,0.058767658825772215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11772960542070474,0.0,0.0,0.05064385122072518,0.0,0.0,0.10941151004649739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10941151004649742,0.0,0.0,0.1094115100464974,0.0,1319
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319
0.0,0.010250987718390376,0.0,0.0,0.010250987718390382,0.0,0.0,0.005225193448716149,0.0,0.002825895773422731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01025098771839038,0.0,0.0,0.0023992976752934174,0.0,0.0,0.009824389620261071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00522519344871615,0.0,0.0,0.005225193448716149,0.0,1319
0.0,0.007286587075818466,0.0,0.0,0.00728658707581847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007286587075818464,0.0,0.0,0.007286587075818464,0.0,0.0,0.00728658707581847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319
