species_code,species_name,point_index,x,y,yfit,g,r_value
1319,Lysobacter,0,0.0,0.0,-0.02463157248370343,1.7335009171257358,0.8828868562962733
1319,Lysobacter,1,0.16084894136575112,0.3333333333333333,0.25420021489252986,1.7335009171257358,0.8828868562962733
1319,Lysobacter,2,0.13203854481511174,0.11347517730496454,0.20425736604924033,1.7335009171257358,0.8828868562962733
1319,Lysobacter,3,0.05588051782121246,0.05837424986361157,0.07223735640882939,1.7335009171257358,0.8828868562962733
1319,Lysobacter,4,0.037414464904522174,0.04110704110704111,0.04022643674205442,1.7335009171257358,0.8828868562962733
1320,Burkholderia,0,0.0,0.0,0.007791935833882824,0.8618608709020275,0.9962136399549553
1320,Burkholderia,1,0.3760878174846386,0.3333333333333333,0.3319273097468362,0.8618608709020275,0.9962136399549553
1320,Burkholderia,2,0.07762840788318623,0.059088858818222824,0.07469682305882352,0.8618608709020275,0.9962136399549553
1320,Burkholderia,3,0.04706476686544805,0.06052053935402948,0.04835521679333876,0.8618608709020275,0.9962136399549553
1320,Burkholderia,4,0.011219860314322858,0.02729044834307992,0.017461894415784218,0.8618608709020275,0.9962136399549553
1321,Variovarax,0,0.0,0.0,-0.03175757882109077,0.8675956822414509,0.8859230178468361
1321,Variovarax,1,0.21943775815474162,0.2,0.15862567267470679,0.8675956822414509,0.8859230178468361
1321,Variovarax,2,0.14444011097717524,0.04345323741007194,0.09355803780518247,0.8675956822414509,0.8859230178468361
1321,Variovarax,3,0.07528121762279968,0.029148434870414002,0.03355608054232925,0.8675956822414509,0.8859230178468361
1321,Variovarax,4,0.08110513217868996,0.019989423585404547,0.0386088836647628,0.8675956822414509,0.8859230178468361
1323,Chitinophaga,0,0.0,0.0,0.048717093903403993,3.9248695341173905,0.7309075982047112
1323,Chitinophaga,1,0.056154581580218195,0.4,0.269116500348712,3.9248695341173905,0.7309075982047112
1323,Chitinophaga,2,0.060499848534110674,0.14362934362934363,0.28617110623365166,3.9248695341173905,0.7309075982047112
1323,Chitinophaga,3,0.027447512617117066,0.19943019943019943,0.15644499996162944,3.9248695341173905,0.7309075982047112
1323,Chitinophaga,4,0.005417437105889057,0.08736998514115898,0.06997982775330504,3.9248695341173905,0.7309075982047112
1324,Niastella,0,0.0,0.0,0.001984053762836155,0.678982923059881,0.7818789138838995
